analysis,model_role,multiplicity_family,term,effect_measure,estimate,ci_low,ci_high,p_value,n,converged,aic,country,year,fdr_q_value
Adjusted annual mortality event study: Chile,supplementary,event_study_chile,"C(year, Treatment(reference='2019'))[T.2015]",Adjusted OR,1.014735994519299,0.8864700748296707,1.1615610812027908,0.8319778928598668,52259,True,28432.966240295857,chile,2015,0.9561169191976808
Adjusted annual mortality event study: Chile,supplementary,event_study_chile,"C(year, Treatment(reference='2019'))[T.2016]",Adjusted OR,0.9803706970424122,0.8554719484160607,1.12350464021525,0.7755527181040827,52259,True,28432.966240295857,chile,2016,0.9561169191976808
Adjusted annual mortality event study: Chile,supplementary,event_study_chile,"C(year, Treatment(reference='2019'))[T.2017]",Adjusted OR,1.0041577908991004,0.8762035525397072,1.1507975128617915,0.9524252097442192,52259,True,28432.966240295857,chile,2017,0.9561169191976808
Adjusted annual mortality event study: Chile,supplementary,event_study_chile,"C(year, Treatment(reference='2019'))[T.2018]",Adjusted OR,1.0038490375469027,0.8754730106266188,1.1510496359705862,0.9561169191976808,52259,True,28432.966240295857,chile,2018,0.9561169191976808
Adjusted annual mortality event study: Chile,supplementary,event_study_chile,"C(year, Treatment(reference='2019'))[T.2020]",Adjusted OR,1.1472251138587535,0.9999273300819896,1.3162211115484899,0.050121280658440945,52259,True,28432.966240295857,chile,2020,0.1336567484225092
Adjusted annual mortality event study: Chile,supplementary,event_study_chile,"C(year, Treatment(reference='2019'))[T.2021]",Adjusted OR,1.329470008917786,1.1630438272023178,1.5197110059588437,2.999935448122956e-05,52259,True,28432.966240295857,chile,2021,0.00023999483584983647
Adjusted annual mortality event study: Chile,supplementary,event_study_chile,"C(year, Treatment(reference='2019'))[T.2022]",Adjusted OR,1.2022513895251492,1.0527690044536306,1.372958737862248,0.006546461633876533,52259,True,28432.966240295857,chile,2022,0.02618584653550613
Adjusted annual mortality event study: Chile,supplementary,event_study_chile,"C(year, Treatment(reference='2019'))[T.2023]",Adjusted OR,0.9742387994854238,0.850885745799102,1.1154743666923481,0.7055421894947218,52259,True,28432.966240295857,chile,2023,0.9561169191976808
Adjusted annual mortality event study: Ecuador,supplementary,event_study_equador,"C(year, Treatment(reference='2019'))[T.2015]",Adjusted OR,0.9912401287815634,0.8498283149846253,1.1561829319898178,0.9107958111903658,46753,True,24017.768284641963,equador,2015,0.9107958111903658
Adjusted annual mortality event study: Ecuador,supplementary,event_study_equador,"C(year, Treatment(reference='2019'))[T.2016]",Adjusted OR,1.1263343622088808,0.9700458638704629,1.3078032109025057,0.11853780434717102,46753,True,24017.768284641963,equador,2016,0.15805040579622803
Adjusted annual mortality event study: Ecuador,supplementary,event_study_equador,"C(year, Treatment(reference='2019'))[T.2017]",Adjusted OR,1.208401191268383,1.0418412964116874,1.401589132709739,0.012361245934351553,46753,True,24017.768284641963,equador,2017,0.03296332249160414
Adjusted annual mortality event study: Ecuador,supplementary,event_study_equador,"C(year, Treatment(reference='2019'))[T.2018]",Adjusted OR,1.1131270123669745,0.9563328419360677,1.2956281446453337,0.16649299762659753,46753,True,24017.768284641963,equador,2018,0.19027771157325432
Adjusted annual mortality event study: Ecuador,supplementary,event_study_equador,"C(year, Treatment(reference='2019'))[T.2020]",Adjusted OR,1.3063373090874055,1.119166513531326,1.5248107805952125,0.0007069500166134755,46753,True,24017.768284641963,equador,2020,0.005655600132907804
Adjusted annual mortality event study: Ecuador,supplementary,event_study_equador,"C(year, Treatment(reference='2019'))[T.2021]",Adjusted OR,1.2269298927169894,1.0503132068275098,1.4332457707444062,0.009909260586029122,46753,True,24017.768284641963,equador,2021,0.03296332249160414
Adjusted annual mortality event study: Ecuador,supplementary,event_study_equador,"C(year, Treatment(reference='2019'))[T.2022]",Adjusted OR,1.1775985140399354,1.0144660965373247,1.366963632399757,0.03165468709755391,46753,True,24017.768284641963,equador,2022,0.06330937419510782
Adjusted annual mortality event study: Ecuador,supplementary,event_study_equador,"C(year, Treatment(reference='2019'))[T.2023]",Adjusted OR,1.1293755259404352,0.9758234630626875,1.3070899879677276,0.10273601409865582,46753,True,24017.768284641963,equador,2023,0.15805040579622803
