country,predictor,display_variable,eligible_years,level,admissions,deaths,mortality_pct,los_median,level_english
equador,ethnicity,ethnicity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Mestizo/a,38590,2901,7.517491578129048,4.0,Mestizo/a
equador,ethnicity,ethnicity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Other/rare,325,32,9.846153846153848,4.0,Other/rare
equador,ethnicity,ethnicity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Otro/a,2129,201,9.441052137153594,6.0,Otro/a
equador,ethnicity,ethnicity_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Sin información,600,30,5.0,5.0,Sin información
equador,hospital_region,hospital_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",01,2673,253,9.465020576131687,3.0,01
equador,hospital_region,hospital_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",07,2083,138,6.625060009601537,3.0,07
equador,hospital_region,hospital_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",09,6419,781,12.167004206262655,6.0,09
equador,hospital_region,hospital_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",13,1748,130,7.437070938215102,5.0,13
equador,hospital_region,hospital_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",17,10251,600,5.85308750365818,5.0,17
equador,hospital_region,hospital_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",18,1600,165,10.3125,4.0,18
equador,hospital_region,hospital_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",23,2078,89,4.282964388835419,4.0,23
equador,hospital_region,hospital_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Guayas,1822,255,13.995609220636664,5.0,Guayas
equador,hospital_region,hospital_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Other/rare,15205,917,6.030910884577442,3.0,Other/rare
equador,hospital_region,hospital_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Pichincha,2874,152,5.288796102992345,5.0,Pichincha
equador,residence_region,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",01,2332,205,8.79073756432247,3.0,01
equador,residence_region,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",07,2063,136,6.592341250605914,3.0,07
equador,residence_region,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",09,5787,678,11.715914981855883,5.0,09
equador,residence_region,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",12,1724,120,6.960556844547564,4.0,12
equador,residence_region,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",13,2255,175,7.760532150776053,6.0,13
equador,residence_region,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",17,8490,432,5.088339222614842,4.0,17
equador,residence_region,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",18,1540,152,9.87012987012987,5.0,18
equador,residence_region,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Guayas,1624,215,13.238916256157635,4.0,Guayas
equador,residence_region,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Other/rare,18534,1253,6.760548181720082,4.0,Other/rare
equador,residence_region,residence_region,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Pichincha,2404,114,4.742096505823628,5.0,Pichincha
equador,residence_area,residence_area_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",1,12363,938,7.587155221224622,4.0,1
equador,residence_area,residence_area_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",1.0,9328,664,7.11835334476844,4.0,1.0
equador,residence_area,residence_area_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",2,2591,178,6.869934388267078,4.0,2
equador,residence_area,residence_area_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",2.0,1650,112,6.787878787878789,4.0,2.0
equador,residence_area,residence_area_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Rural,3728,270,7.242489270386267,4.0,Rural
equador,residence_area,residence_area_label,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Urbana,17093,1318,7.710758790148013,4.0,Urbana
